gamma,rate,seed,acc,mse_our,mse_naive,graph
0.5,30,3,0.79,0.37794505584135313,0.3905023900362456,WS_N_100_K_30_P_0.2
0.5,30,4,0.81,0.3549620843119778,0.38659076473309895,WS_N_100_K_30_P_0.2
0.5,31,0,0.9,0.288540209271847,0.3952720589533916,WS_N_100_K_30_P_0.2
0.5,31,1,0.86,0.3315398134858002,0.39319070264985945,WS_N_100_K_30_P_0.2
0.5,31,2,0.89,0.3010017376465108,0.3897884649618443,WS_N_100_K_30_P_0.2
0.5,31,3,0.87,0.3139247614087745,0.39282464928982275,WS_N_100_K_30_P_0.2
0.5,31,4,0.86,0.32656991261411783,0.39260196741109094,WS_N_100_K_30_P_0.2
0.5,32,0,0.87,0.32270826081728643,0.3970348784346725,WS_N_100_K_30_P_0.2
0.5,32,1,0.89,0.30081025795712385,0.39381485763561813,WS_N_100_K_30_P_0.2
0.5,32,2,0.92,0.25930868183929207,0.3858673655175224,WS_N_100_K_30_P_0.2
0.5,32,3,0.91,0.280671873536398,0.3929498473575355,WS_N_100_K_30_P_0.2
0.5,32,4,0.92,0.25346543431592317,0.3874457447300208,WS_N_100_K_30_P_0.2
0.5,33,0,0.85,0.33451095291002125,0.39185266105675287,WS_N_100_K_30_P_0.2
0.5,33,1,0.9,0.29119963188417974,0.39368061261241716,WS_N_100_K_30_P_0.2
0.5,33,2,0.91,0.27576201174511755,0.38932372566734086,WS_N_100_K_30_P_0.2
0.5,33,3,0.89,0.30546521462497733,0.3939515987149849,WS_N_100_K_30_P_0.2
0.5,33,4,0.9,0.2835707425936657,0.3919623849003889,WS_N_100_K_30_P_0.2
0.5,34,0,0.95,0.22031394743412666,0.38298911383343065,WS_N_100_K_30_P_0.2
0.5,34,1,0.92,0.26097096852591645,0.385623559925988,WS_N_100_K_30_P_0.2
0.5,34,2,0.92,0.2613658219541024,0.3869056729227216,WS_N_100_K_30_P_0.2
0.5,34,3,0.94,0.24240249612552403,0.3901343213284688,WS_N_100_K_30_P_0.2
0.5,34,4,0.95,0.2143118192700192,0.3820638013420143,WS_N_100_K_30_P_0.2
0.5,35,0,0.96,0.18736176462687065,0.3826122121774404,WS_N_100_K_30_P_0.2
0.5,35,1,0.96,0.1969464083333201,0.3838284102828616,WS_N_100_K_30_P_0.2
0.5,35,2,0.96,0.1903146657430474,0.3827348858761874,WS_N_100_K_30_P_0.2
0.5,35,3,0.92,0.25249573949293197,0.3853643024360866,WS_N_100_K_30_P_0.2
0.5,35,4,0.97,0.17320508075688773,0.37908419290840356,WS_N_100_K_30_P_0.2
0.5,36,0,0.99,0.1,0.37265125316694153,WS_N_100_K_30_P_0.2
0.5,36,1,0.96,0.19657800953361887,0.381936142529574,WS_N_100_K_30_P_0.2
0.5,36,2,0.96,0.19699030648718097,0.38395289395795323,WS_N_100_K_30_P_0.2
0.5,36,3,0.96,0.193216317285442,0.3792259446854062,WS_N_100_K_30_P_0.2
0.5,36,4,0.96,0.19005952380952382,0.381444540084711,WS_N_100_K_30_P_0.2
0.5,37,0,0.99,0.1,0.37346131271028266,WS_N_100_K_30_P_0.2
0.5,37,1,0.95,0.21798416874818985,0.38774857021104453,WS_N_100_K_30_P_0.2
0.5,37,2,1.0,0.0,0.369766805958142,WS_N_100_K_30_P_0.2
0.5,37,3,0.97,0.16914729281640367,0.3786900657684419,WS_N_100_K_30_P_0.2
0.5,37,4,0.99,0.1,0.3750062086795255,WS_N_100_K_30_P_0.2
0.5,38,0,0.99,0.1,0.37447793093169324,WS_N_100_K_30_P_0.2
0.5,38,1,1.0,0.0,0.36956826666991494,WS_N_100_K_30_P_0.2
0.5,38,2,0.99,0.1,0.3745088818081516,WS_N_100_K_30_P_0.2
0.5,38,3,0.97,0.16949693233048332,0.38018798732163006,WS_N_100_K_30_P_0.2
0.5,38,4,1.0,0.0,0.3705351848540952,WS_N_100_K_30_P_0.2
0.5,39,0,0.99,0.1,0.37265125316694153,WS_N_100_K_30_P_0.2
0.5,39,1,1.0,0.0,0.36956826666991494,WS_N_100_K_30_P_0.2
0.5,39,2,0.97,0.16503348037607635,0.3760848467961033,WS_N_100_K_30_P_0.2
0.5,39,3,0.98,0.1414213562373095,0.3777598783875188,WS_N_100_K_30_P_0.2
