gamma,rate,seed,acc,mse_our,mse_naive,graph
0.3,28,4,0.99,0.1,0.374116278557249,WS_N_100_K_30_P_0.2
0.3,29,0,1.0,0.0,0.3705812933061117,WS_N_100_K_30_P_0.2
0.3,29,1,0.99,0.1,0.37347547380766116,WS_N_100_K_30_P_0.2
0.3,29,2,0.98,0.13634517437233323,0.37428934502556055,WS_N_100_K_30_P_0.2
0.3,29,3,0.98,0.13681697487033032,0.37650783695729956,WS_N_100_K_30_P_0.2
0.3,29,4,0.97,0.1657780203738865,0.37948587306764797,WS_N_100_K_30_P_0.2
0.4,15,0,0.51,0.25174544695161066,0.23166963360886242,WS_N_100_K_30_P_0.2
0.4,15,1,0.43,0.25045663030587395,0.2322514424350471,WS_N_100_K_30_P_0.2
0.4,15,2,0.49,0.254686316601241,0.2414851977760753,WS_N_100_K_30_P_0.2
0.4,15,3,0.54,0.24851891092906883,0.2325460356120892,WS_N_100_K_30_P_0.2
